date,open,high,low,close,volume,rsi,signal,position,param_id
2023-06-28,249.7,259.88,248.89,256.24,159743027.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-06-29,258.03,260.74,253.61,257.5,131283360.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-06-30,260.6,264.45,259.89,261.77,112611784.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-03,276.49,284.25,275.11,279.82,119685880.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-05,278.82,283.85,277.6,282.48,131530722.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-06,278.09,279.97,272.88,276.54,120707419.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-07,278.43,280.78,273.77,274.43,113877074.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-10,276.47,277.52,265.1,269.61,119424888.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-11,268.65,270.9,266.37,269.79,91962158.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-12,276.325,276.52,271.46,271.99,95672096.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-13,274.59,279.45,270.6,277.9,112643377.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-14,277.01,285.3,276.31,281.38,120062369.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-17,286.625,292.23,283.57,290.38,131036703.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-18,290.15,295.26,286.01,293.34,112430213.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-19,296.04,299.29,289.5201,291.26,142337536.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-20,279.56,280.93,261.2,262.9,175157173.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-21,268.0,268.0,255.8,260.02,160727973.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-24,255.85,269.85,254.12,269.06,136996826.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-25,272.38,272.9,265.0,265.28,112736277.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-26,263.25,268.04,261.75,264.35,95643449.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-27,268.31,269.13,255.3,255.71,103688763.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-28,259.86,267.25,258.2312,266.44,111346026.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-07-31,267.48,269.08,263.78,267.43,84582172.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-01,266.26,266.47,260.25,261.07,83645720.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-02,255.57,259.52,250.49,254.11,101741165.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-03,252.04,260.49,252.0,259.32,97795545.0,,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-04,260.97,264.77,253.11,253.86,99539907.0,49.22857513289252,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-07,251.45,253.6511,242.76,251.45,111084193.0,48.47130912108252,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-08,247.45,250.92,245.01,249.7,96630383.0,47.51845253245099,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-09,250.87,251.1,241.9,242.19,101526974.0,43.89650872817955,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-10,245.4,251.8,243.0,245.34,109498608.0,38.15120274914089,0,0.0,RSI_44c84ec4_20250628_151311
2023-08-11,241.77,243.79,238.02,242.65,99038642.0,36.315536315536306,1,1.0,RSI_44c84ec4_20250628_151311
2023-08-14,235.7,240.66,233.75,239.76,98565731.0,37.09292532285232,0,1.0,RSI_44c84ec4_20250628_151311
