param_id,total_return,max_drawdown,sharpe
RSI_6f885d0e_20250628_151311,2.5041446267931997,-0.3209292070378957,2.863460972846964
RSI_6cf651ae_20250628_151311,2.33045834437158,-0.3209292070378957,2.754194399608971
RSI_2852c6dd_20250628_151311,2.2363026957409216,-0.3209292070378961,2.6931638099324213
RSI_d782c59a_20250628_151311,1.5454370600110283,-0.3305528064470519,2.216927489173691
RSI_cc6c50ea_20250628_151311,1.539764817571062,-0.3267996385051505,2.178434805386821
RSI_37f6cd0a_20250628_151311,1.1530387286078407,-0.3315588188608139,1.8363751211199943
RSI_240dc265_20250628_151311,1.1455667924724495,-0.3165588432413536,1.97785347585582
RSI_a2d209c3_20250628_151311,1.071767983600592,-0.210087304676639,1.764785605411726
RSI_c962db38_20250628_151311,0.9155252038672111,-0.3540539311536536,1.6092367189724424
RSI_c381e2c7_20250628_151311,0.809744848867473,-0.3409881697981904,1.5974972439727104
