date,open,high,low,close,volume
2025-05-13 12:00:00,210.43,213.4,209.0,212.93,51909332.0
2025-05-14 12:00:00,212.43,213.94,210.5801,212.33,49325825.0
2025-05-15 12:00:00,210.95,212.96,209.54,211.45,45029473.0
2025-05-16 12:00:00,212.36,212.57,209.77,211.26,54737850.0
2025-05-19 12:00:00,207.91,209.48,204.26,208.78,46140527.0
2025-05-20 12:00:00,207.67,208.47,205.03,206.86,42496635.0
2025-05-21 12:00:00,205.17,207.04,200.71,202.09,59211774.0
2025-05-22 12:00:00,200.71,202.75,199.7,201.36,46742407.0
2025-05-23 12:00:00,193.665,197.7,193.46,195.27,78432918.0
2025-05-27 12:00:00,198.3,200.74,197.43,200.21,56288475.0
2025-05-28 12:00:00,200.59,202.73,199.9,200.42,45339678.0
2025-05-29 12:00:00,203.575,203.81,198.51,199.95,51477938.0
2025-05-30 12:00:00,199.37,201.96,196.78,200.85,70819942.0
2025-06-02 12:00:00,200.28,202.13,200.12,201.7,35423294.0
2025-06-03 12:00:00,201.35,203.77,200.955,203.27,46381567.0
2025-06-04 12:00:00,202.91,206.24,202.1,202.82,43603985.0
2025-06-05 12:00:00,203.5,204.75,200.15,200.63,55221235.0
2025-06-06 12:00:00,203.0,205.7,202.05,203.92,46607693.0
2025-06-09 12:00:00,204.39,206.0,200.02,201.45,72862557.0
2025-06-10 12:00:00,200.6,204.35,200.57,202.67,54672608.0
2025-06-11 12:00:00,203.5,204.5,198.41,198.78,60989857.0
2025-06-12 12:00:00,199.08,199.68,197.3601,199.2,43904635.0
