date,open,high,low,close,volume
2023-11-27,116.005,116.77,115.45,116.47,5165309.0
2023-11-28,116.0,116.8,115.87,116.24,4892619.0
2023-11-29,117.34,117.58,115.96,116.21,6127312.0
2023-11-30,116.86,117.23,115.18,116.21,11075593.0
2023-12-01,116.07,117.35,115.26,117.16,5739833.0
2023-12-04,116.27,116.68,114.55,115.78,5587538.0
2023-12-05,114.57,115.27,113.81,114.53,5913562.0
2023-12-06,114.94,114.99,111.93,112.03,7815722.0
2023-12-07,112.41,113.03,111.81,112.87,6772848.0
2023-12-08,112.01,113.64,111.59,113.61,7765999.0
2023-12-11,113.77,115.35,113.61,115.13,19544239.0
2023-12-12,102.7,104.95,100.69,100.81,57666473.0
2023-12-13,101.08,103.1,99.26,102.99,29392208.0
2023-12-14,101.87,102.2494,99.87,100.31,22865164.0
2023-12-15,99.69,103.99,99.36,103.32,30212316.0
2023-12-18,103.41,106.156,102.91,105.0,13473124.0
2023-12-19,104.98,106.34,104.8,106.25,10108507.0
2023-12-20,105.95,106.09,104.05,104.15,9241956.0
2023-12-21,104.7,105.925,104.52,105.86,8168010.0
2023-12-22,105.7,106.49,105.46,106.2,5680031.0
2023-12-26,106.52,106.65,105.34,106.19,5767415.0
2023-12-27,106.32,106.33,105.56,105.94,5627364.0
2023-12-28,106.01,106.605,105.58,106.25,5689057.0
2023-12-29,106.6,106.918,104.78,105.43,6899695.0
2024-01-02,104.52,104.68,102.44,104.06,9597500.0
2024-01-03,103.3,103.38,101.74,102.46,9455569.0
2024-01-04,102.77,103.36,102.4,102.59,6822299.0
2024-01-05,102.53,103.72,102.29,102.73,6133770.0
2024-01-08,102.94,104.77,102.13,104.66,7038658.0
2024-01-09,103.85,104.48,103.29,103.63,6725200.0
2024-01-10,103.09,104.07,102.72,103.92,7270545.0
2024-01-11,104.35,104.84,103.54,104.77,6118998.0
2024-01-12,105.1,106.7,104.965,106.6,9703848.0
2024-01-16,106.41,106.66,105.42,106.57,7547241.0
2024-01-17,106.46,107.5,105.68,106.43,7771460.0
2024-01-18,106.99,108.88,106.62,108.7,10362279.0
2024-01-19,109.32,110.22,109.02,109.67,11163772.0
2024-01-22,110.06,110.69,109.27,110.1,7485307.0
2024-01-23,110.29,112.68,109.56,111.83,9185921.0
2024-01-24,113.42,115.42,113.33,114.31,11702698.0
2024-01-25,114.89,116.18,114.35,115.0,8877205.0
2024-01-26,114.64,115.48,114.2746,114.64,5541900.0
2024-01-29,114.19,114.59,113.01,113.75,7014424.0
2024-01-30,113.36,114.4,112.63,114.16,8231882.0
2024-01-31,113.81,114.27,111.67,111.7,7386705.0
2024-02-01,112.91,115.78,112.55,115.53,7882168.0
2024-02-02,115.82,116.49,115.1575,115.79,6499594.0
2024-02-05,115.53,116.715,114.77,116.39,8084508.0
2024-02-06,116.74,116.95,114.98,115.3,4639268.0
2024-02-07,115.8,117.59,115.3,117.27,7661482.0
2024-02-08,117.09,117.7872,115.97,116.68,4472770.0
2024-02-09,117.06,117.34,115.73,116.64,5787142.0
2024-02-12,116.26,117.1,115.38,115.84,5439629.0
2024-02-13,113.79,114.21,113.0,113.68,8171722.0
2024-02-14,114.32,114.72,113.53,114.26,5946116.0
2024-02-15,114.25,114.31,112.57,112.78,8455623.0
2024-02-16,113.02,113.11,111.245,111.31,8936016.0
2024-02-20,110.54,110.765,107.68,108.45,10975638.0
2024-02-21,106.76,108.375,106.51,108.16,7867610.0
2024-02-22,111.49,111.885,109.66,111.01,8957789.0
2024-02-23,112.0,113.37,111.71,111.95,7504506.0
2024-02-26,112.0,112.54,110.93,110.97,6342943.0
2024-02-27,110.62,111.51,109.79,111.38,6593144.0
2024-02-28,111.26,112.02,111.1,111.68,5278179.0
2024-02-29,111.68,112.4423,110.635,111.68,12150860.0
2024-03-01,111.68,113.94,111.52,113.78,7605145.0
2024-03-04,113.58,114.6,113.39,114.06,6588062.0
2024-03-05,112.82,113.2,110.365,110.94,8239278.0
2024-03-06,111.5,113.05,110.67,112.27,6706372.0
2024-03-07,113.94,114.8,112.29,114.54,7670135.0
2024-03-08,114.07,114.33,111.54,112.42,8302943.0
2024-03-11,111.61,114.75,111.18,114.13,20438335.0
2024-03-12,126.26,129.37,124.6,127.54,48536077.0
2024-03-13,128.0,128.8,124.83,125.52,15870346.0
2024-03-14,127.23,127.8,124.94,125.53,10965902.0
2024-03-15,124.04,126.01,123.5586,125.54,17844884.0
2024-03-18,127.2,128.95,126.88,127.8,12231423.0
2024-03-19,127.745,129.21,126.49,129.19,10220550.0
2024-03-20,129.98,130.69,128.27,129.24,8373330.0
2024-03-21,130.52,132.7737,128.95,129.01,17842357.0
2024-03-22,129.01,129.205,127.55,127.79,6659950.0
2024-03-25,127.67,127.67,126.05,126.08,7446068.0
2024-03-26,126.75,126.935,125.84,126.47,7063930.0
2024-03-27,127.33,127.82,124.47,125.27,8115884.0
2024-03-28,125.39,126.17,125.2,125.61,6587431.0
2024-04-01,125.54,126.272,124.56,125.48,4133571.0
2024-04-02,124.51,124.93,123.43,124.34,4862415.0
2024-04-03,124.26,126.405,124.06,126.24,7429977.0
2024-04-04,127.6,127.99,124.03,124.19,7588298.0
2024-04-05,124.42,125.995,124.14,124.9,4899499.0
2024-04-08,125.0,125.115,123.76,124.35,6119225.0
2024-04-09,124.35,124.75,121.24,123.23,5564905.0
2024-04-10,121.35,123.08,121.32,121.75,4509869.0
2024-04-11,121.72,123.82,121.36,123.24,7237241.0
2024-04-12,121.74,121.84,120.415,121.11,6196877.0
2024-04-15,122.18,122.47,119.44,119.88,5101455.0
2024-04-16,120.09,121.4426,119.75,120.62,6999959.0
2024-04-17,120.98,121.04,118.61,118.67,5366587.0
2024-04-18,118.76,118.76,115.7,116.0,6662406.0
2024-04-19,116.12,116.77,114.46,114.88,8251495.0
2024-04-22,116.03,116.335,114.34,114.53,7125490.0
2024-04-23,115.17,115.86,114.75,115.09,5494823.0
2024-04-24,115.38,115.73,113.88,115.34,5764261.0
2024-04-25,113.63,114.99,112.78,114.89,6796627.0
2024-04-26,117.04,119.21,116.15,117.21,8355111.0
2024-04-29,116.99,117.31,115.29,116.49,5190565.0
2024-04-30,115.09,115.52,113.69,113.75,6234710.0
2024-05-01,113.91,116.76,113.65,114.63,5583638.0
2024-05-02,115.23,115.81,114.26,114.96,5001045.0
2024-05-03,115.98,116.21,115.07,115.8,4484976.0
2024-05-06,116.33,118.36,116.18,118.34,6052397.0
2024-05-07,118.0,119.129,117.29,117.93,6437743.0
2024-05-08,117.71,117.98,117.11,117.39,4635960.0
2024-05-09,117.39,117.7256,116.5,116.64,3236316.0
2024-05-10,117.15,117.63,115.91,116.67,4122531.0
2024-05-13,117.13,117.19,116.195,116.37,4139953.0
2024-05-14,116.5,122.55,116.13,120.87,17811221.0
2024-05-15,120.17,122.09,119.67,121.63,6604632.0
2024-05-16,121.94,122.45,121.21,122.16,5159256.0
2024-05-17,123.18,123.58,122.08,123.5,6179367.0
2024-05-20,123.8,124.68,123.24,124.52,5989022.0
2024-05-21,124.46,125.36,123.92,124.63,5549456.0
2024-05-22,124.63,125.16,123.295,124.6,5705042.0
2024-05-23,126.55,126.7,123.16,124.09,6108584.0
2024-05-24,123.42,123.51,121.42,122.91,7173435.0
2024-05-28,123.24,124.82,123.011,124.49,6911394.0
2025-01-24,188.64,189.1,181.87,183.6,12147180.0
2025-01-27,168.9,172.52,152.66,158.28,42201592.0
2025-01-28,162.99,165.825,156.75,164.0,20319300.0
