param_id,cash,position_size,position_value,total_value,last_updated
RSI_d782c59a_20250628_151311,100000,0,0.0,100000.0,2025-06-28
RSI_37f6cd0a_20250628_151311,100000,0,0.0,100000.0,2025-06-28
RSI_c381e2c7_20250628_151311,100000,0,0.0,100000.0,2025-06-28
RSI_6cf651ae_20250628_151311,100000,0,0.0,100000.0,2025-06-28
RSI_a2d209c3_20250628_151311,100000,0,0.0,100000.0,2025-06-28
